15302,"(0, 1)",That  plumber didn 't charge Dave anything .,"[That/DT, plumber/NN, didn/NN, 't/PRP, charge/VBP, Dave/NNP, anything/NN, ./.]",(ROOT (S (NP (DT That) (NN plumber) (NN didn)) (NP (PRP 't)) (VP (VBP charge) (NP (NNP Dave) (NN anything))) (. .)))
15302,"(2,)",Oh that 's nice isn 't it ?,"[Oh/UH, that/DT, 's/VBZ, nice/JJ, isn/NN, 't/PRP, it/PRP, ?/.]",(ROOT (S (S (INTJ (UH Oh)) (NP (DT that)) (VP (VBZ 's) (NP (NP (JJ nice) (NN isn)) (NP (NP (PRP 't)) (NP (PRP it)))))) (. ?)))
15302,"(3,)",That 's kind .,"[That/DT, 's/VBZ, kind/NN, ./.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (NP (NN kind))) (. .)))
15302,"(4, 5)",So Dave will just get him  some cigarettes or something .,"[So/RB, Dave/NNP, will/MD, just/RB, get/VB, him/PRP, some/DT, cigarettes/NNS, or/CC, something/NN, ./.]",(ROOT (S (RB So) (NP (NNP Dave)) (VP (MD will) (ADVP (RB just)) (VP (VB get) (S (NP (PRP him)) (NP (NP (DT some) (NNS cigarettes)) (CC or) (NP (NN something)))))) (. .)))
15302,"(6, 7)",They say that it 's the poor that helps the poor and that 's how I 've found it goes  quite honestly .,"[They/PRP, say/VBP, that/IN, it/PRP, 's/VBZ, the/DT, poor/JJ, that/IN, helps/VBZ, the/DT, poor/JJ, and/CC, that/DT, 's/VBZ, how/WRB, I/PRP, 've/VBP, found/VBN, it/PRP, goes/VBZ, quite/RB, honestly/RB, ./.]",(ROOT (S (S (NP (PRP They)) (VP (VBP say) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT the) (JJ poor)) (SBAR (WHNP (IN that)) (S (VP (VBZ helps) (NP (DT the) (JJ poor))))))))))) (CC and) (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB how)) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN found) (SBAR (S (NP (PRP it)) (VP (VBZ goes) (ADVP (RB quite)) (ADVP (RB honestly))))))))))) (. .)))
15302,"(8,)","Well he 's , he 's he 's a sweetie he is .","[Well/RB, he/PRP, 's/VBZ, ,/,, he/PRP, 's/VBZ, he/PRP, 's/VBZ, a/DT, sweetie/NN, he/PRP, is/VBZ, ./.]","(ROOT (S (ADVP (RB Well)) (NP (PRP he)) (VP (VBZ 's) (, ,) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (SBAR (S (NP (PRP he)) (VP (VBZ 's) (NP (NP (DT a) (NN sweetie)) (SBAR (S (NP (PRP he)) (VP (VBZ is)))))))))))) (. .)))"
15302,"(9,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15302,"(10,)",Oh I like that .,"[Oh/UH, I/PRP, like/VBP, that/IN, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP I)) (VP (VBP like) (ADVP (IN that)))) (. .)))
15302,"(11,)", Have you got it on ?,"[Have/VB, you/PRP, got/VBD, it/PRP, on/IN, ?/.]",(ROOT (SQ (VP (VB Have) (S (NP (PRP you)) (VP (VBD got) (NP (PRP it)) (PP (IN on))))) (. ?)))
15302,"(12,)",No I haven 't .,"[No/DT, I/PRP, haven/NN, 't/PRP, ./.]",(ROOT (S (NP (DT No) (PRP I)) (VP (NN haven) (NP (PRP 't))) (. .)))
15302,"(13,)",Oh that is nice .,"[Oh/UH, that/WDT, is/VBZ, nice/JJ, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (WDT that)) (VP (VBZ is) (ADJP (JJ nice)))) (. .)))
15302,"(14,)",I like that very much .,"[I/PRP, like/VBP, that/IN, very/RB, much/JJ, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP like) (ADJP (IN that) (RB very) (JJ much))) (. .)))
15302,"(15,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
15302,"(16,)",Unforgettable .,"[Unforgettable/JJ, ./.]",(ROOT (FRAG (ADJP (JJ Unforgettable)) (. .)))
15302,"(17,)",Is it a new one ?,"[Is/VBZ, it/PRP, a/DT, new/JJ, one/CD, ?/.]",(ROOT (SQ (VBZ Is) (NP (PRP it)) (NP (DT a) (JJ new) (CD one)) (. ?)))
15302,"(18,)",Revlon .,"[Revlon/NNP, ./.]",(ROOT (FRAG (NP (NNP Revlon)) (. .)))
15302,"(19,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
