14307,"(0,)",Hello .,"[Hello/UH, ./.]",(ROOT (INTJ (UH Hello) (. .)))
14307,"(1,)", very lucky if she 'll give it to you .,"[very/RB, lucky/JJ, if/IN, she/PRP, 'll/MD, give/VB, it/PRP, to/TO, you/PRP, ./.]",(ROOT (FRAG (ADJP (RB very) (JJ lucky)) (SBAR (IN if) (S (NP (PRP she)) (VP (MD 'll) (VP (VB give) (NP (PRP it)) (PP (TO to) (NP (PRP you))))))) (. .)))
14307,"(2, 3)",  . I haven 't trained her yet .,"[./., I/NNP, haven/NNP, 't/PRP, trained/VBD, her/PRP, yet/RB, ./.]",(ROOT (S (PP (. .) (NP (NNP I) (NNP haven))) (NP (PRP 't)) (VP (VBD trained) (NP (PRP her)) (ADVP (RB yet))) (. .)))
14307,"(4,)",Hello darling .,"[Hello/UH, darling/NN, ./.]",(ROOT (S (VP (NP (INTJ (UH Hello)) (NP (NN darling)))) (. .)))
14307,"(5,)",Come and say hello .,"[Come/VB, and/CC, say/VB, hello/UH, ./.]",(ROOT (S (VP (VB Come) (CC and) (VB say) (NP (UH hello))) (. .)))
14307,"(6,)",There 's a love .,"[There/EX, 's/VBZ, a/DT, love/NN, ./.]",(ROOT (S (NP (EX There)) (VP (VBZ 's) (NP (DT a) (NN love))) (. .)))
14307,"(7,)",Can 't be left out can she ?,"[Can/MD, 't/PRP, be/VB, left/VBN, out/RP, can/MD, she/PRP, ?/.]",(ROOT (SQ (MD Can) (NP (PRP 't)) (VP (VB be) (VP (VBN left) (PRT (RP out)) (S (VP (MD can) (VP (NP (PRP she))))))) (. ?)))
14307,"(8,)",,[],X
14307,"(9, 10)",And bouncy there gets all the fuss doesn 't she because she 's so  she 's so full of life .,"[And/CC, bouncy/JJ, there/EX, gets/VBZ, all/PDT, the/DT, fuss/NN, doesn/NN, 't/PRP, she/PRP, because/IN, she/PRP, 's/VBZ, so/RB, she/PRP, 's/VBZ, so/RB, full/JJ, of/IN, life/NN, ./.]",(ROOT (S (CC And) (S (ADJP (JJ bouncy) (SBAR (S (NP (EX there)) (VP (VBZ gets) (S (NP (PDT all) (DT the) (NN fuss) (NN doesn)) (NP (PRP 't))) (SBAR (NP (PRP she)) (IN because) (S (NP (PRP she)) (VP (VBZ 's) (ADVP (RB so)) (NP (PRP she)))))))))) (VP (VBZ 's) (ADJP (RB so) (JJ full) (PP (IN of) (NP (NN life))))) (. .)))
14307,"(11,)",But your an old love .,"[But/CC, your/PRP$, an/DT, old/JJ, love/NN, ./.]",(ROOT (FRAG (CC But) (NP (NP (PRP$ your)) (NP (DT an) (ADJP (JJ old)) (NN love))) (. .)))
14307,"(12,)",Look at her   .,"[Look/VB, at/IN, her/PRP, ./.]",(ROOT (S (VP (VB Look) (PP (IN at) (NP (PRP her)))) (. .)))
14307,"(13,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
