swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw09utt/sw_0971_2839.utt,2/sw2839,2839,0,o,A,1,1,All right. /,All/RB right/JJ ./.,(ROOT (FRAG (ADVP (RB All) (JJ right)) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,1,b,B,2,1,"<Talking> <<people in background>> Yes,  /","Yes/UH ,/,","(ROOT (INTJ (UH Yes) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,2,sv,B,2,2,I think we're terribly taxed.  /,I/PRP think/VBP we/PRP 're/VBP terribly/RB taxed/VBN ./.,(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB terribly)) (VP (VBN taxed)))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,3,sv,B,2,3,"[ I, + I ] think the Republicans have taxed us just as much as the Democrats,  /","I/PRP ,/, I/PRP think/VBP the/DT Republicans/NNPS have/VBP taxed/VBN us/PRP just/RB as/RB much/JJ as/IN the/DT Democrats/NNPS ,/,","(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NNPS Republicans)) (VP (VBP have) (VP (VBN taxed) (S (NP (PRP us)) (ADJP (RB just) (RB as) (JJ much) (PP (IN as) (NP (DT the) (NNPS Democrats))))))))))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,4,sv,B,2,4,{C and } I don't think there's a change between one party than the other.  /,and/CC I/PRP do/VBP n't/RB think/VB there/EX 's/BES a/DT change/NN between/IN one/CD party/NN than/IN the/DT other/JJ ./.,(ROOT (S (CC and) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (S (NP (EX there)) (VP (BES 's) (NP (NP (DT a) (NN change)) (PP (IN between) (NP (NP (CD one) (NN party)) (PP (IN than) (NP (DT the) (JJ other)))))))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,5,sv,B,2,5,"{F Uh, } I think we get a lot back,  /","Uh/UH ,/, I/PRP think/VBP we/PRP get/VBP a/DT lot/NN back/RP ,/,","(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP we)) (VP (VBP get) (NP (DT a) (NN lot)) (PRT (RP back)))))) (, ,)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,6,sv,B,2,6,{C but } not as much as we should. /,but/CC not/RB as/RB much/JJ as/IN we/PRP should/MD ./.,(ROOT (FRAG (CC but) (RB not) (NP (NP (RB as) (JJ much)) (SBAR (IN as) (S (NP (PRP we)) (VP (MD should))))) (. .))),
sw09utt/sw_0971_2839.utt,2/sw2839,2839,7,sv,A,3,1,"{F Uh, } I guess what I feel about it is that it's so mismanaged that [ it, + there's ] got to be something.  /","Uh/UH ,/, I/PRP guess/VBP what/WP I/PRP feel/VBP about/IN it/PRP is/VBZ that/IN it/PRP 's/BES so/RB mismanaged/VBN that/IN it/PRP ,/, there/EX 's/HVS got/VBN to/TO be/VB something/NN ./.","(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP feel) (SBAR (IN about) (S (NP (PRP it)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (ADJP (ADJP (RB so) (VBN mismanaged)) (SBAR (IN that) (S (S (NP (PRP it))) (, ,) (NP (EX there)) (VP (HVS 's) (VP (VBN got) (S (VP (TO to) (VP (VB be) (NP (NN something)))))))))))))))))))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,8,sv,A,3,2,"[ When, + when ] we pay so much [ for the, + for the ] debt, instead of using the money for where --","When/WRB ,/, when/WRB we/PRP pay/VBP so/RB much/JJ for/IN the/DT ,/, for/IN the/DT debt/NN ,/, instead/IN of/IN using/VBG the/DT money/NN for/IN where/WRB --/:","(ROOT (S (SBAR (WHADVP (WRB When)) (, ,) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP we)) (VP (VBP pay) (ADVP (ADVP (RB so) (JJ much) (PP (IN for) (NP (DT the) (PRN (, ,) (PP (IN for) (NP (DT the) (NN debt))) (, ,))))) (PP (IN instead) (PP (IN of) (S (VP (VBG using) (NP (NP (DT the) (NN money)) (PP (IN for) (SBAR (WHADVP (WRB where)) (S (NP (PRP it)) (VP (MD ought) (S (VP (TO to) (VP (VB go)))))))))))))) (, ,) (S (NP (PRP it)))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADVP (RB just))))) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ ridiculous))) (. .)))",
sw09utt/sw_0971_2839.utt,2/sw2839,2839,9,b,B,4,1,# Right. # /,Right/UH ./.,(ROOT (INTJ (UH Right) (. .))),
